 Fold R2_log MAE_original RMSE_original MAPE_original    Model
    1 0.9988   1.7750e-05    6.5630e-05       14.5711 SimpleNN
    2 0.9989   9.2763e-06    3.1024e-05       13.8386 SimpleNN
    3 0.9986   2.6450e-05    1.0205e-04       16.2804 SimpleNN
    4 0.9988   1.6132e-05    5.0421e-05       15.6465 SimpleNN
    5 0.9987   1.2139e-05    4.3514e-05       15.8525 SimpleNN
    6 0.9989   1.0031e-05    3.5661e-05       13.2291 SimpleNN
    7 0.9989   1.1253e-05    3.9709e-05       12.3915 SimpleNN
    8 0.9988   2.9605e-05    9.8878e-05       17.3554 SimpleNN
    9 0.9989   3.0149e-05    1.2275e-04       15.4395 SimpleNN
   10 0.9987   1.6276e-05    5.9785e-05       14.6946 SimpleNN
