r2_log mae_log rmse_log   mae_orig  rmse_orig mape_orig    Model
0.9982  0.0224   0.0422 3.0885e-05 1.1188e-04   19.9051 SimpleNN
0.9985  0.0210   0.0395 2.4533e-05 8.2253e-05   18.1273 SimpleNN
0.9982  0.0227   0.0427 2.9856e-05 1.0839e-04   19.2039 SimpleNN
0.9983  0.0216   0.0410 1.3432e-05 4.3469e-05   20.1546 SimpleNN
0.9983  0.0210   0.0410 1.3108e-05 4.9327e-05   16.5089 SimpleNN
0.9981  0.0241   0.0437 1.2266e-05 4.2096e-05   20.3398 SimpleNN
0.9980  0.0232   0.0441 3.0445e-05 1.1227e-04   20.5627 SimpleNN
0.9983  0.0208   0.0404 2.3351e-05 9.7596e-05   18.8807 SimpleNN
0.9983  0.0216   0.0417 1.9289e-05 7.1558e-05   19.5792 SimpleNN
0.9982  0.0227   0.0415 2.9557e-05 1.0762e-04   17.1125 SimpleNN
